2MASXJ04234080+0408017	0.584	6.99
2MASXJ12005792+0648226	0.815	1.23
2MASXJ15462424+6929102	0.268	1.481
2MASXJ20101740+4800214	0.16	0.251
ARK347	0.417	0.893
CGCG122-055	1.79	2.029
CGCG229-015	0.201	0.405
CGCG420-015	0.827	1.17
CGCG493-002	1.175	1.433
ESO548-G081	0.459	2.6
ESO549-G049	0.768	2.71
IC0486	0.772	1.8
IC2637	2.007	5.323
IGRJ23308+7120	0.114	0.509
IRAS05589+2828	2.464	2.794
MCG+02-57-002	0.382	0.526
MCG+06-16-028	2.24	3.41
Mrk18	3.454	5.129
Mrk198	0.829	1.299
Mrk279	3.029	3.082
Mrk359	0.525	0.801
Mrk477	5.452	6.106
Mrk590	2.016	2.739
Mrk739E	0.313	1.361
Mrk766	4.602	4.838
Mrk817	1.94	2.104
Mrk885	0.231	0.296
Mrk926	8.622	9.773
Mrk975	1.256	1.548
NGC235A	3.283	4.334
NGC3516	3.697	5.28
NGC5231	0.643	1.11
NGC5273	0.546	0.684
NGC5548	1.436	4.52
NGC6552	4.761	5.353
NGC7679	0.462	7.22
NGC985	1.005	
UGC07064	0.608	1.15
UGC08327NED02	2.566	2.957
UGC11185NED02	6.817	8.169
UGC12741	0.307	0.696
