Name,22 GHz Predict,1.4 GHz Predict,1.4 GHz Observed
1RXSJ044154.5-082639,0.00012059978363685537,0.0006579789729595054,
2MASXJ01073963-1139117,0.00039328056443030726,0.0021456949097685427,0.0037
2MASXJ03534246+3714077,0.0007382541108368183,0.004027832115306509,0.0048
2MASXJ04234080+0408017,0.00032690571336409946,0.0017835611229751061,0.0572
2MASXJ12005792+0648226,0.0004914103133358634,0.0026810798785846905,0.0062
2MASXJ15462424+6929102,0.0001101048913318327,0.0006007200106965821,0.0111
2MASXJ20101740+4800214,0.00018684317948969658,0.0010193955547657292,0.0022
2MASXJ23272195+1524375,3.62751740885421e-07,1.9791330523923116e-06,0.2029
ARK347,0.00019053724076462965,0.00103954994120351,0.0045
CGCG122-055,0.0003464350973618389,0.0018901112645910937,0.0059
CGCG229-015,7.864679703742551e-05,0.00042908815572224385,
CGCG319-007,0.00037076139621038107,0.0020228328387894927,
CGCG420-015,0.00033779664563652023,0.0018429808351427242,0.0096
CGCG493-002,0.00019595509665122898,0.0010691091588439121,0.007
ESO548-G081,0.0010405174283255197,0.005676947073948689,0.0036
ESO549-G049,0.00337338347238103,0.01840480410180043,0.0251
IC0486,0.0007857648723845823,0.004287045532984386,0.0117
IC2637,0.0027013687182043567,0.014738366530915151,0.044
IGRJ23308+7120,0.00040999680642588666,0.0022368968622787843,0.0032
IRAS05589+2828,0.0004159713711034428,0.0022694934210110602,0.0093
MCG+00-09-042,0.003716147928246541,0.020274888755654568,0.0271
MCG+02-57-002,2.6758333627146997e-05,0.00014599048478489512,0.0037
MCG+06-16-028,0.0023308928491988638,0.01271709149671999,0.023
MCG-03-04-072,3.259702183919826e-05,0.00017784571667125006,
Mrk1210,0.0008469894135362991,0.004621079803130561,0.1149
Mrk18,0.0010255224397713641,0.005595136088299562,0.0319
Mrk198,0.000786069408686156,0.0042887070490907645,0.0086
Mrk279,0.0006327926007135743,0.003452445874759023,0.024
Mrk359,0.0013057034229487028,0.007123772293061967,0.0053
Mrk477,0.0010100822642531832,0.005510896212211902,0.0608
Mrk590,0.00043149422851103576,0.002354184400268535,0.0168
Mrk595,0.00022888804468838115,0.0012487876513962988,
Mrk653,0.00010530831913734565,0.0005745504476088234,
Mrk739E,0.001757332374459041,0.009587809497045286,0.0026
Mrk766,0.003202246902966521,0.01747110206035863,0.0397
Mrk817,0.0014047429905277744,0.007664121131118391,0.0117
Mrk885,0.0004423915976790991,0.002413639231421082,
Mrk926,0.00047834833697193,0.002609815191919566,0.0345
Mrk975,0.0007629451056611731,0.004162543430086286,0.0121
NGC235A,0.00213478105816004,0.011647127430768376,0.0426
NGC3516,0.001575376605327534,0.008595079108260257,0.0324
NGC5231,0.0007569708905938619,0.004129948778788527,0.0117
NGC5273,0.0006446974703531968,0.0035173975161507057,0.0029
NGC5548,0.0007974192287274549,0.004350630401760585,0.0291
NGC6552,0.0021014664426521053,0.011465366603050333,0.0343
NGC7679,0.008553917419212905,0.046669219699612456,0.0563
NGC985,0.000646939571791939,0.0035296301716119865,0.0173
UGC07064,0.00176546647795529,0.009632188258789372,0.0176
UGC08327NED02,0.0011626518754279268,0.006343298999665248,0.015
UGC11185NED02,0.000317633565507354,0.0017329733180891475,0.0798
UGC12741,0.00047828435405420413,0.0026094661082543837,0.0033
